alias,popularName,littera,objectId,stateText,hasSuperDevice,mountedIn
https://ns.proptechos.com/bacnet/summerlin/AHU-J1-6/multi-state-input_27,AHU-J1-6 Cool Output 3,Cool Output 3,multi-state-input 27,Off;On;Not Present,8cbbda74-50f8-4893-9792-edfac679f025,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-6/multi-state-input_25,AHU-J2-6 Cool Output 1,Cool Output 1,multi-state-input 25,Off;On;Not Present,6f974fa7-45ab-4731-8878-f0d1b63837ca,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-6/multi-state-input_26,AHU-J2-6 Cool Output 2,Cool Output 2,multi-state-input 26,Off;On;Not Present,6f974fa7-45ab-4731-8878-f0d1b63837ca,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-6/multi-state-input_27,AHU-J2-6 Cool Output 3,Cool Output 3,multi-state-input 27,Off;On;Not Present,6f974fa7-45ab-4731-8878-f0d1b63837ca,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J1-5/multi-state-input_25,AHU-J1-5 Cool Output 1,Cool Output 1,multi-state-input 25,Off;On;Not Present,7beef893-e2c9-41c7-903b-c8ce4fc89172,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU-J1-5/multi-state-input_26,AHU-J1-5 Cool Output 2,Cool Output 2,multi-state-input 26,Off;On;Not Present,7beef893-e2c9-41c7-903b-c8ce4fc89172,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU-J1-5/multi-state-input_27,AHU-J1-5 Cool Output 3,Cool Output 3,multi-state-input 27,Off;On;Not Present,7beef893-e2c9-41c7-903b-c8ce4fc89172,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-5/multi-state-input_25,AHU-J2-5 Cool Output 1,Cool Output 1,multi-state-input 25,Off;On;Not Present,fc3ebd54-66af-4957-8f2b-a6b4eb23c79c,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-5/multi-state-input_26,AHU-J2-5 Cool Output 2,Cool Output 2,multi-state-input 26,Off;On;Not Present,fc3ebd54-66af-4957-8f2b-a6b4eb23c79c,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-5/multi-state-input_27,AHU-J2-5 Cool Output 3,Cool Output 3,multi-state-input 27,Off;On;Not Present,fc3ebd54-66af-4957-8f2b-a6b4eb23c79c,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J1-4/multi-state-input_25,AHU-J1-4 Cool Output 1,Cool Output 1,multi-state-input 25,Off;On;Not Present,36040ae9-def0-42c1-a9dd-fe1f160998ac,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU-J1-4/multi-state-input_26,AHU-J1-4 Cool Output 2,Cool Output 2,multi-state-input 26,Off;On;Not Present,36040ae9-def0-42c1-a9dd-fe1f160998ac,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU-J1-4/multi-state-input_27,AHU-J1-4 Cool Output 3,Cool Output 3,multi-state-input 27,Off;On;Not Present,36040ae9-def0-42c1-a9dd-fe1f160998ac,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-4/multi-state-input_25,AHU-J2-4 Cool Output 1,Cool Output 1,multi-state-input 25,Off;On;Not Present,6cd06ece-48de-4610-8bfa-9b57f6fe3355,5b64b08c-858c-495b-8872-04131d4bd263
