action,building,building_uuid,vbc_name,vbc_scope,tags_net_new,tags_already_live,devices,existing_mount_uuids,storey_uuid,placement_confidence,placement_source
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Floor 2 Lobby,suite,46,3,1,,7281e29f-60ad-4b8e-94e7-d71952423175,suite:49,ebo-vav-summary:49
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,,,42,0,1,,,none:42,unplaced:42
CREATE,Building S,b419bb67-e846-4fb9-b490-0c0ac9e6f834,BACnet at Building S,building,24,1,1,,,building:25,building-vbc:25
CREATE,Building R,1dd93985-e292-4464-80a8-6c13ea5cb764,BACnet at Building R,building,24,1,1,,,building:25,building-vbc:25
CREATE,Building 6,c10e7b82-75ce-4db4-a0c3-7523995f487d,6A (West Junior Anchor),building,24,1,1,,,building:25,building-vbc:25
CREATE,Building 6,c10e7b82-75ce-4db4-a0c3-7523995f487d,6D (East Junior Anchor),building,24,1,1,,,building:25,building-vbc:25
CREATE,Building 8B,a56ab5cf-bc82-43fd-9284-38638bc6485a,BACnet at Building 8B,building,24,1,1,,,building:25,building-vbc:25
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Central Plant,building,2,0,1,,,building:2,building-vbc:2
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,LEVEL 02,storey,471,188,14,5b64b08c-858c-495b-8872-04131d4bd263,7281e29f-60ad-4b8e-94e7-d71952423175,high:659,connector_twinid:659
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,LEVEL 01,storey,391,183,12,45110f4c-8f96-4152-aa8e-635d961a5dcb,e6e51244-0b11-4b23-9ee3-12b464aa9297,high:574,connector_twinid:574
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 480,suite,230,20,5,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,"low:150,medium:100",ebo-4thflr-plan-2026-07-05:250
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 450,suite,230,20,5,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,medium:250,ebo-4thflr-plan-2026-07-05:250
